"id","avg","std_dev","ecr_rank","ecr_min","ecr_max"
"16162",1,0,1,1,1
"16161",2,0,2,2,2
"14802",5,2.24,3,3,9
"15711",5.33,0.47,4,5,6
"15281",5.67,3.45,5,3,11
"15715",6.33,0.94,6,5,8
"16185",7.5,2.99,7,3,11
"13130",7.83,4.06,8,4,16
"15287",9.17,2.67,9,5,12
"12626",9.83,2.03,10,8,14
"16181",10.33,2.75,11,7,14
"17042",12.17,3.53,12,7,16
"16211",13.33,2.62,13,11,17
"14832",14.17,0.9,14,13,15
"14836",15.67,6.5,15,12,30
"15754",16,1.91,16,13,19
"13604",16.83,3.98,17,9,21
"17044",18.83,1.57,18,16,21
"16167",20.5,4.46,19,14,28
"15256",22,5.23,20,14,31
"14797",23,4.2,21,19,32
"15762",24,4.58,22,17,30
"15282",25.17,4.34,23,18,32
"13589",25.17,0.37,24,25,26
"16190",25.33,4.23,25,20,32
"15710",27.17,6.47,26,18,35
"15290",27.33,4.23,27,21,33
"13593",28.17,1.46,28,27,31
"15708",28.67,6.18,29,22,37
"16615",30.33,6.32,30,17,37
"17472",31,8.31,31,18,42
"16192",32,11.31,32,20,56
"15751",34.17,8.67,33,26,51
"14783",34.5,10.8,34,27,58
"15284",35.17,6.12,35,24,43
"16598",35.83,4.74,36,31,44
"15789",36.83,3.58,37,31,41
"15794",37.33,5.96,38,24,40
"14835",38.83,2.41,39,36,43
"15753",41.33,4.5,40,34,47
"14071",43.17,1.21,41,42,45
"17045",44.5,2.36,42,42,49
"17071",44.83,3.72,43,38,49
"17081",45,5.48,44,38,54
"17052",45.67,5.28,45,35,51
"16641",45.83,4.1,46,38,52
"16580",50.67,18.8,47,29,79
"11675",50.67,8.14,48,37,61
"16627",50.67,5.31,49,43,59
"15237",51.17,11.02,50,36,62
"16194",51.67,7.25,51,39,61
"13635",52.33,5.34,52,41,56
"15253",52.67,14.27,53,35,81
"11671",53.17,3.34,54,47,57
"14777",57.5,10.14,55,45,78
"17043",57.67,12.06,56,49,80
"15756",58.33,2.36,57,55,62
