"avg_type","id","pos","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","pos_rank","tier"
"robust","13589","QB",24.404,1.393644,2.524,22.52864,25.884,7.2545,5.91614,7.94917,13,16,12,1,1
"robust","13593","QB",21.88,1.43308116,0.860999999999994,20.894,22.93412,4.7305,4.2815,4.99929000000001,28,23,30,2,2
"robust","15698","QB",21.019,1.2839316,0.232000000000003,19.3,23.0916,3.86950000000001,2.6875,5.15677,43,39,28,3,2
"robust","13116","QB",20.787,3.0348822,0.452200000000001,18.42,23.6304,3.6375,1.8075,5.69557,44,53,24,4,3
"robust","14783","QB",20.3348,0.607865999999995,1.3114,18.87792,24.104,3.1853,2.26542,6.16917,46,43,20,5,4
"robust","12620","QB",19.0234,0.202523159999997,0.598400000000002,18.178,19.4,1.8739,1.5655,1.46517,59,57,66,6,5
"robust","16580","QB",18.425,1.230558,0.123999999999999,16.892,19.94688,1.2755,0.279500000000002,2.01205,67,87,62,7,5
"robust","17039","QB",18.301,1.03811652,0.0810000000000031,17.35984,20.5204,1.1515,0.747340000000001,2.58557,69,72,52,8,5
"robust","15237","QB",18.22,0.370649999999995,0.159499999999994,17.626,19.2496,1.0705,1.0135,1.31477,71,67,68,9,5
"robust","12611","QB",18.0605,1.438122,0.503700000000006,16.911,19.2012,0.911000000000005,0.298500000000001,1.26637000000001,77,85,71,10,6
"robust","14779","QB",17.5568,1.14693936,0.370899999999995,16.6125,18.66658,0.407299999999999,0,0.731749999999998,83,94,85,11,7
"robust","14782","QB",17.1859,0.162196440000001,0.036400000000004,16.92518,17.37,0.036400000000004,0.312679999999997,-0.564829999999997,90,84,108,12,7
"robust","16148","QB",17.1495,0.808017,0.0453499999999991,16.3813,17.91,0,-0.231200000000001,-0.0248299999999979,94,106,95,13,7
"robust","14777","QB",17.10415,0.0979998600000007,0.71415,16.995,17.93483,-0.0453499999999991,0.3825,0,96,80,94,14,8
"robust","14056","QB",16.39,1.171254,0.207999999999998,15.115,18.40042,-0.759499999999999,-1.4975,0.465590000000002,115,134,87,15,8
"robust","9431","QB",16.182,0.9370032,0.489550000000003,13.4754,17.206,-0.967499999999998,-3.1371,-0.728829999999999,119,179,112,16,9
"robust","15694","QB",15.69245,1.40090874,0.206200000000001,14.367,17.46247,-1.45705,-2.2455,-0.472359999999998,132,147,103,17,9
"robust","13113","QB",15.48625,1.252797,0.0364499999999968,14.063,16.89375,-1.66325,-2.5495,-1.04108,135,156,120,18,9
"robust","16582","QB",15.4498,1.08170496,0.00725000000000087,14.3195,16.47482,-1.6997,-2.293,-1.46001,137,148,130,19,9
"robust","16150","QB",15.44255,1.28230074,0.00884999999999891,14.07303,16.8015,-1.70695,-2.53947,-1.13333,138,155,122,20,9
