gsis_id,player,team,pos,vegas,vegas_parts,vegas_filled,vegas_complete
00-0023459,Aaron Rodgers,PIT,QB,13.37,4,1,False
00-0026498,Matthew Stafford,LA,QB,16.0,5,0,True
00-0029604,Kirk Cousins,LV,QB,13.93,4,1,False
00-0029892,Kyle Juszczyk,SF,RB,2.75,1,3,False
00-0030279,Keenan Allen,IND,WR,7.38,3,0,True
00-0030506,Travis Kelce,KC,TE,11.27,3,0,True
00-0030565,Geno Smith,NYJ,QB,15.77,4,1,False
00-0031235,Odell Beckham Jr.,NYG,WR,0.15,1,0,False
00-0031381,Davante Adams,LA,WR,13.62,1,2,False
00-0031408,Mike Evans,SF,WR,8.57,1,2,False
00-0031484,Chris Manhertz,NYG,TE,0.03,1,0,False
00-0031503,Jameis Winston,NYG,QB,13.79,5,0,True
00-0031588,Stefon Diggs,WAS,WR,8.02,3,0,True
00-0031595,Michael Burton,CLE,RB,0.0,1,0,False
00-0031610,Darren Waller,CAR,TE,5.24,3,0,True
00-0032104,Ameer Abdullah,JAX,RB,3.24,1,3,False
00-0032268,Marcus Mariota,WAS,QB,12.33,3,1,False
00-0032385,Sterling Shepard,NYJ,WR,0.18,1,0,False
00-0032392,Austin Hooper,ATL,TE,1.64,3,0,True
00-0032398,Chris Moore,BAL,WR,4.88,1,2,False
00-0032464,Kalif Raymond,CHI,WR,8.17,1,2,False
00-0032764,Derrick Henry,BAL,RB,16.52,2,2,False
00-0032951,Laquon Treadwell,IND,WR,3.14,1,2,False
00-0033077,Dak Prescott,DAL,QB,19.96,5,0,True
00-0033090,Hunter Henry,NE,TE,8.78,3,0,True
00-0033106,Jared Goff,DET,QB,19.48,4,1,False
00-0033110,Tyler Higbee,LA,TE,2.64,1,2,False
00-0033119,Jacoby Brissett,ARI,QB,14.58,4,1,False
00-0033217,Mo Alie-Cox,IND,TE,0.23,1,0,False
00-0033246,Johnny Mundt,PHI,TE,3.75,1,2,False
00-0033280,Christian McCaffrey,SF,RB,18.06,2,2,False
00-0033288,George Kittle,SF,TE,7.69,1,2,False
00-0033293,Aaron Jones,MIN,RB,11.8,1,3,False
00-0033307,Kendrick Bourne,ARI,WR,6.21,1,2,False
00-0033376,Patrick Ricard,NYG,RB,1.24,1,3,False
00-0033526,Samaje Perine,CIN,RB,4.77,1,3,False
00-0033537,Deshaun Watson,CLE,QB,16.08,5,0,True
00-0033555,Mack Hollins,NE,WR,7.14,3,0,True
00-0033576,Eric Saubert,SEA,TE,0.79,1,2,False
00-0033757,Robert Tonyan,PIT,TE,0.01,1,0,False
00-0033858,Jonnu Smith,GB,TE,2.6,3,0,True
00-0033873,Patrick Mahomes,KC,QB,21.17,5,0,True
00-0033881,Evan Engram,DEN,TE,5.36,3,0,True
00-0033906,Alvin Kamara,NO,RB,12.07,1,3,False
00-0033908,Cooper Kupp,SEA,WR,5.23,3,0,True
00-0033921,Chris Godwin,TB,WR,7.56,3,0,True
00-0034270,Tyler Conklin,DET,TE,0.16,1,0,False
00-0034348,Courtland Sutton,DEN,WR,8.37,3,0,True
00-0034351,Dallas Goedert,PHI,TE,5.93,1,2,False
00-0034365,Ian Thomas,LV,TE,1.18,1,2,False
00-0034383,Dalton Schultz,HOU,TE,10.48,3,0,True
00-0034419,Braxton Berrios,NYG,WR,0.08,1,0,False
00-0034753,Mark Andrews,BAL,TE,10.81,1,2,False
00-0034798,Durham Smythe,BAL,TE,1.3,1,2,False
00-0034827,DJ Moore,BUF,WR,10.26,3,0,True
00-0034829,Mike Gesicki,CIN,TE,5.51,3,0,True
00-0034837,Calvin Ridley,TEN,WR,3.08,3,0,True
00-0034844,Saquon Barkley,PHI,RB,14.72,4,0,True
00-0034854,KhaDarel Hodge,SF,WR,1.94,1,2,False
00-0034855,Baker Mayfield,TB,QB,16.53,5,0,True
00-0034857,Josh Allen,BUF,QB,24.74,5,0,True
00-0034959,Andrew Beck,NYJ,RB,0.08,1,0,False
00-0034960,Jakobi Meyers,JAX,WR,7.99,3,0,True
00-0034975,Justice Hill,BAL,RB,4.47,1,3,False
00-0034981,Foster Moreau,HOU,TE,2.89,1,2,False
00-0035125,Alec Ingold,LAC,RB,0.16,1,0,False
00-0035208,Olamide Zaccheaus,ATL,WR,2.44,3,0,True
00-0035228,Kyler Murray,MIN,QB,16.82,5,0,True
00-0035229,T.J. Hockenson,MIN,TE,7.23,3,0,True
00-0035249,Josh Oliver,MIN,TE,3.33,1,2,False
00-0035250,Devin Singletary,NYG,RB,5.29,1,3,False
00-0035261,Tony Pollard,TEN,RB,9.7,2,2,False
00-0035535,Darius Slayton,FA,WR,1.38,1,0,False
00-0035537,Ty Johnson,BUF,RB,0.6,1,0,False
00-0035544,Tom Kennedy,DET,WR,0.14,1,0,False
00-0035589,Gary Jennings,FA,WR,0.05,1,0,False
00-0035631,Drew Sample,CIN,TE,3.89,1,2,False
00-0035640,DK Metcalf,PIT,WR,10.18,3,0,True
00-0035644,Noah Fant,NO,TE,9.19,1,2,False
00-0035659,Terry McLaurin,WAS,WR,8.31,3,0,True
00-0035662,Hollywood Brown,PHI,WR,0.43,1,2,False
00-0035685,David Montgomery,HOU,RB,11.86,2,2,False
00-0035689,Dawson Knox,BUF,TE,2.24,1,2,False
00-0035710,Daniel Jones,IND,QB,15.18,5,0,True
00-0035719,Deebo Samuel,SF,WR,8.01,1,2,False
00-0035891,Cody White,LV,WR,1.83,1,2,False
00-0036040,Juwan Johnson,NO,TE,7.75,3,0,True
00-0036139,Rico Dowdle,PIT,RB,9.65,1,3,False
00-0036152,Lamar Jackson,CAR,CB,23.73,5,0,False
00-0036158,J.K. Dobbins,DEN,RB,6.73,1,3,False
00-0036187,Reggie Gilliam,NE,RB,2.05,1,3,False
00-0036223,Jonathan Taylor,IND,RB,17.39,4,0,True
00-0036244,Colby Parkinson,LA,TE,3.53,1,2,False
00-0036252,Michael Pittman Jr.,PIT,WR,4.99,1,2,False
00-0036259,Jauan Jennings,MIN,WR,1.92,1,2,False
00-0036264,Jordan Love,GB,QB,17.21,5,0,True
00-0036265,AJ Dillon,CAR,RB,2.61,1,3,False
00-0036275,D'Andre Swift,CHI,RB,13.08,1,3,False
00-0036290,Cole Kmet,CHI,TE,3.16,1,2,False
00-0036309,Darnell Mooney,NYG,WR,3.77,3,0,True
00-0036331,Devin Duvernay,ARI,WR,0.06,1,0,False
00-0036355,Justin Herbert,LAC,QB,17.14,5,0,True
00-0036358,CeeDee Lamb,DAL,WR,15.43,3,0,True
00-0036389,Jalen Hurts,PHI,QB,19.62,5,0,True
00-0036407,Jerry Jeudy,CLE,WR,4.39,3,0,True
00-0036410,Tee Higgins,CIN,WR,10.64,3,0,True
00-0036422,Adam Trautman,DEN,TE,3.19,1,2,False
00-0036425,DeeJay Dallas,MIN,RB,2.51,1,3,False
00-0036429,Charlie Woerner,ATL,TE,1.03,1,2,False
00-0036442,Joe Burrow,CIN,QB,17.4,4,1,False
00-0036463,Chris Blair,ATL,WR,3.59,1,2,False
00-0036550,Rashod Bateman,BAL,WR,8.44,1,2,False
00-0036555,Chuba Hubbard,CAR,RB,15.17,4,0,True
00-0036590,Quintin Morris,JAX,TE,1.1,1,2,False
00-0036613,Jaylen Waddle,DEN,WR,11.12,3,0,True
00-0036626,Dyami Brown,WAS,WR,4.22,1,2,False
00-0036628,John Bates,WAS,TE,3.12,1,2,False
00-0036630,Tylan Wallace,CLE,WR,0.18,1,0,False
00-0036637,Noah Gray,KC,TE,2.07,1,2,False
00-0036646,Simi Fehoko,ARI,WR,0.0,1,0,False
00-0036754,Brock Wright,DET,TE,1.57,1,2,False
00-0036825,Feleipe Franks,CAR,TE,0.01,1,0,False
00-0036849,Tutu Atwell,LA,WR,3.98,1,2,False
00-0036862,Ben Skowronek,PIT,WR,0.77,1,2,False
00-0036875,Rhamondre Stevenson,NE,RB,10.76,4,0,True
00-0036876,Kylen Granson,TEN,TE,0.1,1,0,False
00-0036887,Luke Farrell,SF,TE,2.66,1,2,False
00-0036893,Najee Harris,NYG,RB,2.1,1,3,False
00-0036894,Pat Freiermuth,PIT,TE,7.62,3,0,True
00-0036900,Ja'Marr Chase,CIN,WR,14.52,3,0,True
00-0036912,DeVonta Smith,PHI,WR,13.15,3,0,True
00-0036919,Kenny Gainwell,TB,RB,5.36,1,3,False
00-0036963,Amon-Ra St. Brown,DET,WR,16.16,3,0,True
00-0036970,Kyle Pitts,ATL,TE,7.53,3,0,True
00-0036971,Trevor Lawrence,JAX,QB,18.59,5,0,True
00-0036973,Travis Etienne Jr.,NO,RB,11.93,1,3,False
00-0036980,Elijah Moore,PHI,WR,0.16,1,0,False
00-0036988,Joshua Palmer,BUF,WR,3.95,1,2,False
00-0036997,Javonte Williams,DAL,RB,14.74,4,0,True
00-0037004,Hunter Long,ARI,TE,0.16,1,0,False
00-0037005,Tommy Tremble,CAR,TE,3.4,3,0,True
00-0037091,Bo Melton,GB,WR,1.48,1,2,False
00-0037093,Dareke Young,LV,WR,1.23,1,2,False
00-0037120,Tyler Goodson,DAL,RB,0.18,1,0,False
00-0037132,Britain Covey,PHI,WR,0.23,1,0,False
00-0037157,Zonovan Knight,ARI,RB,1.03,1,3,False
00-0037228,Jaylen Warren,PIT,RB,13.09,1,3,False
00-0037231,Kevin Austin,NO,WR,1.28,1,2,False
00-0037238,Drake London,ATL,WR,12.16,3,0,True
00-0037239,Chris Olave,NO,WR,14.42,3,0,True
00-0037240,Jameson Williams,DET,WR,10.31,3,0,True
00-0037247,George Pickens,DAL,WR,11.62,3,0,True
00-0037248,James Cook,BUF,RB,15.81,4,0,True
00-0037252,Greg Dulcich,MIA,TE,3.69,1,2,False
00-0037256,Rachaad White,WAS,RB,8.3,1,3,False
00-0037261,Khalil Shakir,BUF,WR,9.24,3,0,True
00-0037263,Tyler Allgeier,ARI,RB,8.53,2,2,False
00-0037291,Jalen Nailor,LV,WR,5.63,1,2,False
00-0037292,Drew Ogletree,IND,TE,1.17,1,2,False
00-0037304,Connor Heyward,LV,TE,0.13,1,2,False
00-0037311,Ko Kieft,TB,TE,0.09,1,0,False
00-0037317,Nick Muse,ATL,TE,0.0,1,0,False
00-0037524,Tay Martin,DET,WR,0.1,1,0,False
00-0037545,Rashid Shaheed,SEA,WR,6.24,3,0,True
00-0037557,Ronnie Rivers,LA,RB,3.74,1,3,False
00-0037594,Julius Chestnut,TEN,RB,0.3,1,0,False
00-0037614,John Metchie III,CAR,WR,0.44,1,0,False
00-0037666,Jalen Tolbert,MIA,WR,0.38,1,0,False
00-0037740,Garrett Wilson,NYJ,WR,11.82,3,0,True
00-0037741,Jahan Dotson,ATL,WR,4.15,3,0,True
00-0037742,Treylon Burks,WAS,WR,1.91,1,2,False
00-0037744,Trey McBride,ARI,TE,13.13,3,0,True
00-0037746,Brian Robinson Jr.,ATL,RB,5.26,2,2,False
00-0037755,Jelani Woods,NYJ,TE,0.17,1,0,False
00-0037801,KaVontae Turpin,DAL,WR,0.8,1,2,False
00-0037805,Jeremy Ruckert,NYJ,TE,1.92,1,2,False
00-0037809,Chig Okonkwo,WAS,TE,4.73,1,2,False
00-0037816,Romeo Doubs,NE,WR,8.35,3,0,True
00-0037834,Brock Purdy,SF,QB,20.51,4,1,False
00-0037838,Isaiah Likely,NYG,TE,8.45,3,0,True
00-0037840,Kyren Williams,LA,RB,12.19,2,2,False
00-0038041,Jake Ferguson,DAL,TE,7.25,3,0,True
00-0038090,Skyy Moore,GB,WR,2.87,3,0,True
00-0038104,Tyquan Thornton,KC,WR,4.08,3,0,True
00-0038115,Daniel Bellinger,TEN,TE,1.19,1,2,False
00-0038117,Wan'Dale Robinson,TEN,WR,6.88,3,0,True
00-0038120,Breece Hall,NYJ,RB,14.63,4,0,True
00-0038124,Christian Watson,GB,WR,12.7,3,0,True
00-0038128,Malik Willis,MIA,QB,15.59,5,0,True
00-0038129,Cade Otton,TB,TE,6.41,3,0,True
00-0038134,Kenneth Walker III,KC,RB,18.63,4,0,True
00-0038359,Xavier Smith,LA,WR,1.07,1,2,False
00-0038393,Dontayvion Wicks,PHI,WR,7.94,3,0,True
00-0038416,Tyson Bagent,CHI,QB,8.58,1,3,False
00-0038454,Keaton Mitchell,LAC,RB,3.55,1,3,False
