season,week,norm,player,pos,arch_fit,snapshot_date
2026,3,jahmyr gibbs,Jahmyr Gibbs,RB,100.0,2026-09-25
2026,3,bijan robinson,Bijan Robinson,RB,100.0,2026-09-25
2026,3,jaxon smith njigba,Jaxon Smith-Njigba,WR,100.0,2026-09-25
2026,3,ashton jeanty,Ashton Jeanty,RB,100.0,2026-09-25
2026,3,zay flowers,Zay Flowers,WR,100.0,2026-09-25
2026,3,ceedee lamb,CeeDee Lamb,WR,100.0,2026-09-25
2026,3,chris olave,Chris Olave,WR,100.0,2026-09-25
2026,3,omarion hampton,Omarion Hampton,RB,98.9,2026-09-25
2026,3,amon ra st brown,Amon-Ra St. Brown,WR,97.9,2026-09-25
2026,3,josh allen,Josh Allen,QB,97.7,2026-09-25
2026,3,josh downs,Josh Downs,WR,95.5,2026-09-25
2026,3,tee higgins,Tee Higgins,WR,95.5,2026-09-25
2026,3,jalen hurts,Jalen Hurts,QB,95.4,2026-09-25
2026,3,jayden daniels,Jayden Daniels,QB,95.4,2026-09-25
2026,3,devon achane,De'Von Achane,RB,94.4,2026-09-25
2026,3,caleb williams,Caleb Williams,QB,94.2,2026-09-25
2026,3,devonta smith,DeVonta Smith,WR,94.1,2026-09-25
2026,3,christian watson,Christian Watson,WR,93.7,2026-09-25
2026,3,tyler shough,Tyler Shough,QB,93.5,2026-09-25
2026,3,dontayvion wicks,Dontayvion Wicks,WR,93.2,2026-09-25
2026,3,garrett wilson,Garrett Wilson,WR,93.2,2026-09-25
2026,3,drake london,Drake London,WR,92.5,2026-09-25
2026,3,tyler warren,Tyler Warren,TE,92.5,2026-09-25
2026,3,jaylen waddle,Jaylen Waddle,WR,91.0,2026-09-25
2026,3,michael mayer,Michael Mayer,TE,90.3,2026-09-25
2026,3,drake maye,Drake Maye,QB,90.3,2026-09-25
2026,3,lamar jackson,Lamar Jackson,QB,90.2,2026-09-25
2026,3,parker washington,Parker Washington,WR,90.2,2026-09-25
2026,3,george pickens,George Pickens,WR,89.9,2026-09-25
2026,3,breece hall,Breece Hall,RB,89.5,2026-09-25
2026,3,chase brown,Chase Brown,RB,89.5,2026-09-25
2026,3,kenneth walker,Kenneth Walker III,RB,89.5,2026-09-25
2026,3,jaxson dart,Jaxson Dart,QB,89.5,2026-09-25
2026,3,jalen coker,Jalen Coker,WR,89.3,2026-09-25
2026,3,trey mcbride,Trey McBride,TE,89.0,2026-09-25
2026,3,alec pierce,Alec Pierce,WR,88.8,2026-09-25
2026,3,tre tucker,Tre Tucker,WR,88.8,2026-09-25
2026,3,wandale robinson,Wan'Dale Robinson,WR,86.5,2026-09-25
2026,3,jalen nailor,Jalen Nailor,WR,86.5,2026-09-25
2026,3,darnell mooney,Darnell Mooney,WR,86.5,2026-09-25
2026,3,michael pittman,Michael Pittman,WR,86.5,2026-09-25
2026,3,rashee rice,Rashee Rice,WR,86.5,2026-09-25
2026,3,geno smith,Geno Smith,QB,85.6,2026-09-25
2026,3,treveyon henderson,TreVeyon Henderson,RB,85.6,2026-09-25
2026,3,deshaun watson,Deshaun Watson,QB,85.0,2026-09-25
2026,3,ladd mcconkey,Ladd McConkey,WR,84.9,2026-09-25
2026,3,adonai mitchell,Adonai Mitchell,WR,84.9,2026-09-25
2026,3,nico collins,Nico Collins,WR,83.5,2026-09-25
2026,3,cam skattebo,Cam Skattebo,RB,83.3,2026-09-25
2026,3,brian thomas,Brian Thomas Jr.,WR,82.6,2026-09-25
2026,3,jeremiyah love,Jeremiyah Love,RB,82.2,2026-09-25
2026,3,jonathan mingo,Jonathan Mingo,WR,82.0,2026-09-25
2026,3,ryan miller,Ryan Miller,WR,82.0,2026-09-25
2026,3,tutu atwell,Tutu Atwell,WR,82.0,2026-09-25
2026,3,dalton kincaid,Dalton Kincaid,TE,82.0,2026-09-25
2026,3,cody white,Cody White,WR,82.0,2026-09-25
2026,3,tetairoa mcmillan,Tetairoa McMillan,WR,81.7,2026-09-25
2026,3,mark andrews,Mark Andrews,TE,81.2,2026-09-25
2026,3,bhayshul tuten,Bhayshul Tuten,RB,81.1,2026-09-25
2026,3,khalil shakir,Khalil Shakir,WR,80.7,2026-09-25
2026,3,jared wayne,Jared Wayne,WR,80.5,2026-09-25
2026,3,dareke young,Dareke Young,WR,79.8,2026-09-25
2026,3,kavontae turpin,KaVontae Turpin,WR,79.8,2026-09-25
2026,3,justin jefferson,Justin Jefferson,WR,79.8,2026-09-25
2026,3,mike evans,Mike Evans,WR,79.8,2026-09-25
2026,3,travis kelce,Travis Kelce,TE,79.6,2026-09-25
2026,3,matthew golden,Matthew Golden,WR,79.5,2026-09-25
2026,3,tyquan thornton,Tyquan Thornton,WR,79.5,2026-09-25
2026,3,jamarr chase,Ja'Marr Chase,WR,79.4,2026-09-25
2026,3,jameson williams,Jameson Williams,WR,79.4,2026-09-25
2026,3,jonathan taylor,Jonathan Taylor,RB,79.0,2026-09-25
2026,3,devaughn vele,Devaughn Vele,WR,78.8,2026-09-25
2026,3,michael wilson,Michael Wilson,WR,78.3,2026-09-25
2026,3,terrance ferguson,Terrance Ferguson,TE,78.3,2026-09-25
2026,3,keon coleman,Keon Coleman,WR,78.1,2026-09-25
2026,3,bucky irving,Bucky Irving,RB,77.8,2026-09-25
2026,3,davante adams,Davante Adams,WR,77.5,2026-09-25
2026,3,rashod bateman,Rashod Bateman,WR,76.8,2026-09-25
2026,3,james cook,James Cook,RB,76.8,2026-09-25
2026,3,quinshon judkins,Quinshon Judkins,RB,76.7,2026-09-25
2026,3,harold fannin,Harold Fannin Jr.,TE,76.7,2026-09-25
2026,3,javonte williams,Javonte Williams,RB,76.2,2026-09-25
