season,week,norm,player,pos,value,snapshot_date
2026,3,josh allen,Josh Allen,QB,6787.0,2026-09-25
2026,3,ashton jeanty,Ashton Jeanty,RB,6761.0,2026-09-25
2026,3,trey mcbride,Trey McBride,TE,5949.0,2026-09-25
2026,3,jaxon smith njigba,Jaxon Smith-Njigba,WR,9659.0,2026-09-25
2026,3,chris olave,Chris Olave,WR,5766.0,2026-09-25
2026,3,chuba hubbard,Chuba Hubbard,RB,3010.0,2026-09-25
2026,3,patrick mahomes,Patrick Mahomes,QB,2144.0,2026-09-25
2026,3,dalton kincaid,Dalton Kincaid,TE,2518.0,2026-09-25
2026,3,parker washington,Parker Washington,WR,3240.0,2026-09-25
2026,3,kenneth walker,Kenneth Walker III,RB,8826.0,2026-09-25
2026,3,christian watson,Christian Watson,WR,3133.0,2026-09-25
2026,3,jalen coker,Jalen Coker,WR,1819.0,2026-09-25
2026,3,davante adams,Davante Adams,WR,3066.0,2026-09-25
2026,3,travis kelce,Travis Kelce,TE,1750.0,2026-09-25
2026,3,denzel boston,Denzel Boston,WR,1179.0,2026-09-25
2026,3,brock purdy,Brock Purdy,QB,2216.0,2026-09-25
2026,3,jared goff,Jared Goff,QB,1246.0,2026-09-25
2026,3,tyler shough,Tyler Shough,QB,1117.0,2026-09-25
2026,3,george kittle,George Kittle,TE,1715.0,2026-09-25
2026,3,josh jacobs,Josh Jacobs,RB,1657.0,2026-09-25
2026,3,treveyon henderson,TreVeyon Henderson,RB,2462.0,2026-09-25
2026,3,jordan love,Jordan Love,QB,939.0,2026-09-25
2026,3,garrett wilson,Garrett Wilson,WR,3846.0,2026-09-25
2026,3,jonah coleman,Jonah Coleman,RB,740.0,2026-09-25
2026,3,bucky irving,Bucky Irving,RB,3707.0,2026-09-25
2026,3,dandre swift,D'Andre Swift,RB,3876.0,2026-09-25
2026,3,deebo samuel,Deebo Samuel Sr.,WR,896.0,2026-09-25
2026,3,derrick henry,Derrick Henry,RB,7378.0,2026-09-25
2026,3,breece hall,Breece Hall,RB,4486.0,2026-09-25
2026,3,juwan johnson,Juwan Johnson,TE,603.0,2026-09-25
2026,3,matthew golden,Matthew Golden,WR,1153.0,2026-09-25
2026,3,matthew stafford,Matthew Stafford,QB,941.0,2026-09-25
2026,3,aaron jones,Aaron Jones Sr.,RB,1197.0,2026-09-25
2026,3,tre tucker,Tre Tucker,WR,502.0,2026-09-25
2026,3,dak prescott,Dak Prescott,QB,1657.0,2026-09-25
2026,3,jake ferguson,Jake Ferguson,TE,693.0,2026-09-25
2026,3,devonta smith,DeVonta Smith,WR,4314.0,2026-09-25
2026,3,jordyn tyson,Jordyn Tyson,WR,569.0,2026-09-25
2026,3,kaelon black,Kaelon Black,RB,399.0,2026-09-25
2026,3,oronde gadsden,Oronde Gadsden,TE,364.0,2026-09-25
2026,3,david montgomery,David Montgomery,RB,3229.0,2026-09-25
2026,3,isaiah likely,Isaiah Likely,TE,1003.0,2026-09-25
2026,3,zay flowers,Zay Flowers,WR,4454.0,2026-09-25
2026,3,alvin kamara,Alvin Kamara,RB,425.0,2026-09-25
2026,3,justin jefferson,Justin Jefferson,WR,7090.0,2026-09-25
2026,3,jaylen warren,Jaylen Warren,RB,1545.0,2026-09-25
2026,3,mark andrews,Mark Andrews,TE,676.0,2026-09-25
2026,3,kyle monangai,Kyle Monangai,RB,888.0,2026-09-25
2026,3,zach charbonnet,Zach Charbonnet,RB,270.0,2026-09-25
2026,3,brock bowers,Brock Bowers,TE,4581.0,2026-09-25
2026,3,trevor lawrence,Trevor Lawrence,QB,1371.0,2026-09-25
2026,3,tank bigsby,Tank Bigsby,RB,295.0,2026-09-25
2026,3,ceedee lamb,CeeDee Lamb,WR,7472.0,2026-09-25
2026,3,jeremiyah love,Jeremiyah Love,RB,3946.0,2026-09-25
2026,3,hunter henry,Hunter Henry,TE,238.0,2026-09-25
2026,3,jakobi meyers,Jakobi Meyers,WR,270.0,2026-09-25
2026,3,rachaad white,Rachaad White,RB,610.0,2026-09-25
2026,3,tetairoa mcmillan,Tetairoa McMillan,WR,3109.0,2026-09-25
2026,3,michael wilson,Michael Wilson,WR,834.0,2026-09-25
