season,week,gsis_id,norm,player,pos,wopr_anchored,snapshot_date
2026,3,00-0038543,jaxon smith njigba,Jaxon Smith-Njigba,WR,0.9410799814879276,2026-09-25
2026,3,00-0036322,justin jefferson,Justin Jefferson,WR,0.7908862515983056,2026-09-25
2026,3,00-0036963,amon ra st brown,Amon-Ra St. Brown,WR,0.7629936809958991,2026-09-25
2026,3,00-0037740,garrett wilson,Garrett Wilson,WR,0.7530708993061555,2026-09-25
2026,3,00-0037239,chris olave,Chris Olave,WR,0.7484330883944439,2026-09-25
2026,3,00-0040388,jakobie keeney james,Jakobie Keeney-James,WR,0.72,2026-09-25
2026,3,00-0039075,puka nacua,Puka Nacua,WR,0.706839251843338,2026-09-25
2026,3,00-0033040,tyreek hill,Tyreek Hill,WR,0.7022035187344724,2026-09-25
2026,3,00-0036912,devonta smith,DeVonta Smith,WR,0.7021907474924716,2026-09-25
2026,3,00-0037238,drake london,Drake London,WR,0.6927580739221563,2026-09-25
2026,3,00-0039337,malik nabers,Malik Nabers,WR,0.6881057639351935,2026-09-25
2026,3,00-0040124,tetairoa mcmillan,Tetairoa McMillan,WR,0.6861878594817542,2026-09-25
2026,3,00-0036358,ceedee lamb,CeeDee Lamb,WR,0.6746732430900303,2026-09-25
2026,3,00-0031381,davante adams,Davante Adams,WR,0.6665320778290355,2026-09-25
2026,3,00-0039064,zay flowers,Zay Flowers,WR,0.6661319699708326,2026-09-25
2026,3,00-0037744,trey mcbride,Trey McBride,TE,0.66418545839407,2026-09-25
2026,3,00-0035640,dk metcalf,DK Metcalf,WR,0.650161589420796,2026-09-25
2026,3,00-0038606,parker washington,Parker Washington,WR,0.6489479483953313,2026-09-25
2026,3,00-0036900,jamarr chase,Ja'Marr Chase,WR,0.646694826940411,2026-09-25
2026,3,00-0036554,nico collins,Nico Collins,WR,0.6456751329694255,2026-09-25
2026,3,00-0036613,jaylen waddle,Jaylen Waddle,WR,0.6441773408236772,2026-09-25
2026,3,00-0036410,tee higgins,Tee Higgins,WR,0.6032519633415447,2026-09-25
2026,3,00-0035676,aj brown,A.J. Brown,WR,0.5969200089105438,2026-09-25
2026,3,00-0037247,george pickens,George Pickens,WR,0.5804985953706708,2026-09-25
2026,3,00-0040628,drake dabney,Drake Dabney,TE,0.5800000000000001,2026-09-25
2026,3,00-0035659,terry mclaurin,Terry McLaurin,WR,0.5775688315036719,2026-09-25
2026,3,00-0039890,adonai mitchell,Adonai Mitchell,WR,0.5683551646280788,2026-09-25
2026,3,00-0038559,michael wilson,Michael Wilson,WR,0.557146250854534,2026-09-25
2026,3,00-0040129,emeka egbuka,Emeka Egbuka,WR,0.5551977526066394,2026-09-25
2026,3,00-0038124,christian watson,Christian Watson,WR,0.5496678361330075,2026-09-25
2026,3,00-0031408,mike evans,Mike Evans,WR,0.545866591872539,2026-09-25
2026,3,00-0039919,rome odunze,Rome Odunze,WR,0.5343404147799883,2026-09-25
2026,3,00-0039916,ricky pearsall,Ricky Pearsall,WR,0.5180010012322859,2026-09-25
2026,3,00-0039338,brock bowers,Brock Bowers,TE,0.5151831351585248,2026-09-25
2026,3,00-0038117,wandale robinson,Wan'Dale Robinson,WR,0.5108459797503364,2026-09-25
2026,3,00-0038563,tre tucker,Tre Tucker,WR,0.5103305098206713,2026-09-25
2026,3,00-0039893,brian thomas,Brian Thomas Jr.,WR,0.5067921707688365,2026-09-25
2026,3,00-0037240,jameson williams,Jameson Williams,WR,0.5067052337926483,2026-09-25
2026,3,00-0037664,alec pierce,Alec Pierce,WR,0.5047866339356556,2026-09-25
2026,3,00-0034348,courtland sutton,Courtland Sutton,WR,0.48850880477883923,2026-09-25
2026,3,00-0031588,stefon diggs,Stefon Diggs,WR,0.48540141698995154,2026-09-25
2026,3,00-0038544,quentin johnston,Quentin Johnston,WR,0.48117364164377874,2026-09-25
2026,3,00-0039915,ladd mcconkey,Ladd McConkey,WR,0.4793115585737793,2026-09-25
2026,3,00-0038994,jordan addison,Jordan Addison,WR,0.47864367166792937,2026-09-25
2026,3,00-0040667,matthew golden,Matthew Golden,WR,0.46926954419054195,2026-09-25
2026,3,00-0037816,romeo doubs,Romeo Doubs,WR,0.4691588901169167,2026-09-25
2026,3,00-0039491,jalen coker,Jalen Coker,WR,0.467239167852543,2026-09-25
2026,3,00-0030506,travis kelce,Travis Kelce,TE,0.45543437053524716,2026-09-25
2026,3,00-0030279,keenan allen,Keenan Allen,WR,0.45434531887365626,2026-09-25
2026,3,00-0030061,zach ertz,Zach Ertz,TE,0.45207544972928915,2026-09-25
2026,3,00-0038997,josh downs,Josh Downs,WR,0.4494243307601917,2026-09-25
2026,3,00-0033288,george kittle,George Kittle,TE,0.4477518893830041,2026-09-25
2026,3,00-0038933,dalton kincaid,Dalton Kincaid,TE,0.4467003137067431,2026-09-25
2026,3,00-0040170,elic ayomanor,Elic Ayomanor,WR,0.44442852643643,2026-09-25
2026,3,00-0035719,deebo samuel,Deebo Samuel Sr.,WR,0.4370642925854896,2026-09-25
2026,3,00-0039894,xavier worthy,Xavier Worthy,WR,0.436801133155911,2026-09-25
2026,3,00-0036407,jerry jeudy,Jerry Jeudy,WR,0.43276086990243073,2026-09-25
2026,3,00-0034383,dalton schultz,Dalton Schultz,TE,0.4327486004718549,2026-09-25
2026,3,00-0039067,rashee rice,Rashee Rice,WR,0.43185318576495046,2026-09-25
2026,3,00-0037545,rashid shaheed,Rashid Shaheed,WR,0.42684960009103917,2026-09-25
2026,3,00-0041037,denzel boston,Denzel Boston,WR,0.4221299310106955,2026-09-25
2026,3,00-0039880,malik washington,Malik Washington,WR,0.42040968320382543,2026-09-25
2026,3,00-0041438,carnell tate,Carnell Tate,WR,0.41514066876872563,2026-09-25
2026,3,00-0037261,khalil shakir,Khalil Shakir,WR,0.4141382243338364,2026-09-25
2026,3,00-0034753,mark andrews,Mark Andrews,TE,0.40909105272736956,2026-09-25
2026,3,00-0040663,harold fannin,Harold Fannin Jr.,TE,0.4041950560417626,2026-09-25
2026,3,00-0033943,josh reynolds,Josh Reynolds,WR,0.4014603339952473,2026-09-25
2026,3,00-0034837,calvin ridley,Calvin Ridley,WR,0.3999817318352107,2026-09-25
2026,3,00-0036259,jauan jennings,Jauan Jennings,WR,0.3986510152610016,2026-09-25
2026,3,00-0035535,darius slayton,Darius Slayton,WR,0.39573476136893815,2026-09-25
2026,3,00-0034827,dj moore,DJ Moore,WR,0.3938757909784529,2026-09-25
2026,3,00-0037838,isaiah likely,Isaiah Likely,TE,0.3931709054091964,2026-09-25
2026,3,00-0036252,michael pittman,Michael Pittman,WR,0.3922885984834126,2026-09-25
2026,3,00-0039849,marvin harrison,Marvin Harrison Jr.,WR,0.3916646315981375,2026-09-25
2026,3,00-0040128,tyler warren,Tyler Warren,TE,0.3794356014646203,2026-09-25
2026,3,00-0034960,jakobi meyers,Jakobi Meyers,WR,0.375738340567356,2026-09-25
2026,3,00-0039901,keon coleman,Keon Coleman,WR,0.37101929771393427,2026-09-25
2026,3,00-0033090,hunter henry,Hunter Henry,TE,0.36993541016399434,2026-09-25
2026,3,00-0038393,dontayvion wicks,Dontayvion Wicks,WR,0.3695942406356296,2026-09-25
2026,3,00-0033555,mack hollins,Mack Hollins,WR,0.3691581064678834,2026-09-25
2026,3,00-0040735,luther burden,Luther Burden III,WR,0.36914167436579504,2026-09-25
2026,3,00-0037837,calvin austin,Calvin Austin III,WR,0.3671899325376232,2026-09-25
2026,3,00-0039868,troy franklin,Troy Franklin,WR,0.3669735873534977,2026-09-25
2026,3,00-0039065,sam laporta,Sam LaPorta,TE,0.3664469348426533,2026-09-25
2026,3,00-0036550,rashod bateman,Rashod Bateman,WR,0.3611423095183668,2026-09-25
2026,3,00-0036970,kyle pitts,Kyle Pitts,TE,0.3595451614765827,2026-09-25
2026,3,00-0039424,devaughn vele,Devaughn Vele,WR,0.35843389516655094,2026-09-25
2026,3,00-0040311,theo wease,Theo Wease Jr.,WR,0.3582508250825083,2026-09-25
2026,3,00-0034351,dallas goedert,Dallas Goedert,TE,0.35144459625770075,2026-09-25
2026,3,00-0035229,tj hockenson,T.J. Hockenson,TE,0.34950764128242573,2026-09-25
