week,home,away
1,A Place in the Hampton,Crabcakes and Football
1,BillsMafia,Undisputed
1,Don R.I.C.O,Barkley’s Balls Deep
1,Revenge of the Smith,L'Omar
1,TaylorMade,Heartbreak Drake
1,deez nuts,Burrow-Chase combo
2,A Place in the Hampton,Burrow-Chase combo
2,Barkley’s Balls Deep,Undisputed
2,BillsMafia,Heartbreak Drake
2,Don R.I.C.O,L'Omar
2,TaylorMade,Crabcakes and Football
2,deez nuts,Revenge of the Smith
3,A Place in the Hampton,Revenge of the Smith
3,BillsMafia,Barkley’s Balls Deep
3,Don R.I.C.O,deez nuts
3,Heartbreak Drake,Crabcakes and Football
3,L'Omar,Undisputed
3,TaylorMade,Burrow-Chase combo
4,A Place in the Hampton,Don R.I.C.O
4,BillsMafia,L'Omar
4,Crabcakes and Football,Burrow-Chase combo
4,Heartbreak Drake,Barkley’s Balls Deep
4,TaylorMade,Revenge of the Smith
4,deez nuts,Undisputed
5,A Place in the Hampton,Undisputed
5,Barkley’s Balls Deep,L'Omar
5,BillsMafia,deez nuts
5,Heartbreak Drake,Burrow-Chase combo
5,Revenge of the Smith,Crabcakes and Football
5,TaylorMade,Don R.I.C.O
6,A Place in the Hampton,BillsMafia
6,Don R.I.C.O,Crabcakes and Football
6,Heartbreak Drake,L'Omar
6,TaylorMade,Undisputed
6,deez nuts,Barkley’s Balls Deep
