yahoo_id,player,nfl_team,pos,roster_status,gp,bye,fan_pts,proj_preseason,actual_pts,pct_ros,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost
40029,Bryce Young,,,FA,1,5,31.44,138.0,138.0,30,361,3,1,2,10,1,0,0,0,0,0,0,0
33465,Joshua Palmer,,,W (Sep 23),2,7,20.7,,,1,0,0,0,0,0,0,5,2,77,2,0,0,0
32696,Jordan Love,GB,QB,FA,1,11,19.48,100.0,100.0,71,387,2,1,1,0,0,0,0,0,0,0,0,1
29236,Carson Wentz,,,FA,1,6,19.22,333.0,333.0,5,133,3,0,5,-1,0,0,0,0,0,0,1,0
34042,Malik Willis,,,FA,1,6,16.7,107.0,107.0,36,220,0,1,6,39,1,0,0,0,0,0,0,0
29325,Jacoby Brissett,,,FA,1,14,16.48,270.0,270.0,8,277,1,0,6,14,0,0,0,0,0,0,0,0
40030,C.J. Stroud,,,FA,1,8,16.46,146.0,146.0,37,274,2,0,2,15,0,0,0,0,0,0,0,2
42693,Antonio Williams,,,FA,1,7,14.4,170.0,170.0,12,0,0,0,0,0,0,4,4,64,1,0,0,0
30125,Deshaun Watson,,,FA,1,11,14.0,303.0,303.0,2,205,1,1,6,38,0,0,0,0,0,0,0,0
25812,Kirk Cousins,LV,QB,FA,1,13,13.8,278.0,278.0,5,160,3,2,5,-6,0,0,0,0,0,0,0,0
33443,Pat Freiermuth,,,FA,1,9,13.1,173.0,173.0,12,0,0,0,0,0,0,5,5,46,1,0,0,0
31874,Drew Lock,,,FA,1,11,12.78,,,3,187,1,0,2,13,0,0,0,0,0,0,0,0
7200,Aaron Rodgers,,,FA,1,9,12.54,213.0,213.0,10,221,1,0,3,-3,0,0,0,0,0,0,0,0
29631,Kalif Raymond,,,FA,1,10,12.4,259.0,259.0,9,0,0,0,0,0,0,9,8,84,0,0,0,0
30136,Evan Engram,,,FA,1,10,12.3,198.0,198.0,3,0,0,0,0,0,0,5,4,43,1,0,0,0
29360,Demarcus Robinson,SF,WR,FA,1,8,12.0,,,3,0,0,0,0,0,0,3,2,50,1,0,0,0
31906,Devin Singletary,NYG,RB,FA,1,8,11.8,296.0,296.0,9,0,0,0,6,16,0,4,4,22,1,0,0,0
41786,Cam Ward,,,FA,1,9,11.7,179.0,179.0,10,140,1,0,4,21,0,0,0,0,0,0,0,0
30971,Baker Mayfield,TB,QB,FA,1,10,11.64,128.0,128.0,55,216,0,0,5,30,1,0,0,0,0,0,0,3
31852,Noah Fant,NO,TE,FA,1,8,11.3,327.0,327.0,0,0,0,0,0,0,0,8,4,33,1,0,0,0
32713,Cole Kmet,,,FA,1,10,10.5,335.0,335.0,1,0,0,0,0,0,0,3,2,35,1,0,0,0
40911,Keon Coleman,,,W (Sep 23),2,7,9.9,282.0,282.0,2,0,0,0,0,0,0,7,7,64,0,0,0,0
42638,Kenyon Sadiq,NYJ,TE,FA,1,13,9.9,166.0,166.0,18,0,0,0,1,3,1,3,3,21,0,0,0,0
41843,Jack Bech,LV,WR,FA,1,13,9.8,256.0,256.0,1,0,0,0,0,0,0,4,3,23,1,0,0,0
40078,Brenton Strange,,,FA,1,7,9.3,139.0,139.0,31,0,0,0,0,0,0,3,2,23,1,0,0,0
26662,Geno Smith,NYJ,QB,FA,1,13,9.3,253.0,253.0,5,215,0,0,6,7,0,0,0,0,0,0,0,0
31838,Daniel Jones,,,FA,1,13,9.04,152.0,152.0,21,166,1,1,1,4,0,0,0,0,0,0,0,0
42813,Josh Cameron,,,FA,1,7,9.0,,,0,0,0,0,0,0,0,2,2,20,1,0,0,0
40108,Kendre Miller,NO,RB,FA,1,8,9.0,266.0,266.0,2,0,0,0,9,30,1,0,0,0,0,0,0,0
31928,Dawson Knox,,,W (Sep 23),2,7,8.7,339.0,339.0,1,0,0,0,0,0,0,3,3,12,1,0,0,0
30142,David Njoku,LAC,TE,FA,1,7,8.3,183.0,183.0,4,0,0,0,0,0,0,5,5,58,0,0,0,0
