seat,team,slot,player,yahoo_id,nfl_team,pos
8,TaylorMade,QB,Bryce Young,40029,,
8,TaylorMade,RB,Christian McCaffrey,30121,SF,RB
8,TaylorMade,RB,Breece Hall,33991,NYJ,RB
8,TaylorMade,WR,Emeka Egbuka,41804,TB,WR
8,TaylorMade,WR,Christian Watson,33989,GB,WR
8,TaylorMade,TE,Travis Kelce,26686,KC,TE
8,TaylorMade,W/R,Malik Nabers,40899,NYG,WR
8,TaylorMade,BN,Jadarian Price,42654,,
8,TaylorMade,BN,George Kittle,30259,SF,TE
8,TaylorMade,BN,Denzel Boston,42661,,
8,TaylorMade,BN,Kaelon Black,42712,SF,RB
8,TaylorMade,BN,Josh Downs,40126,,
8,TaylorMade,IR,Jayden Daniels,40896,,
8,TaylorMade,K,Tyler Loop,41988,,
8,TaylorMade,DEF,Panthers,,,
7,A Place in the Hampton,QB,Justin Herbert,32676,LAC,QB
7,A Place in the Hampton,RB,Omarion Hampton,41807,LAC,RB
7,A Place in the Hampton,RB,Aaron Jones Sr.,30295,,
7,A Place in the Hampton,WR,Amon-Ra St. Brown,33500,,
7,A Place in the Hampton,WR,Garrett Wilson,33965,NYJ,WR
7,A Place in the Hampton,TE,Tyler Warren,41799,,
7,A Place in the Hampton,W/R,Rashee Rice,40084,KC,WR
7,A Place in the Hampton,BN,Jonathon Brooks,40926,,
7,A Place in the Hampton,BN,Chris Godwin Jr.,30197,TB,WR
7,A Place in the Hampton,BN,Rachaad White,34047,,
7,A Place in the Hampton,BN,Jonah Coleman,42730,,
7,A Place in the Hampton,BN,Emmett Johnson,42796,KC,RB
7,A Place in the Hampton,BN,Jordan Love,32696,GB,QB
7,A Place in the Hampton,IR,Tank Dell,40097,,
7,A Place in the Hampton,K,Brandon Aubrey,40819,,
7,A Place in the Hampton,DEF,Chiefs,,KC,DEF
11,BillsMafia,QB,Brock Purdy,34218,SF,QB
11,BillsMafia,RB,Kenneth Walker III,33996,KC,RB
11,BillsMafia,RB,D'Andre Swift,32705,,
11,BillsMafia,WR,Justin Jefferson,32692,,
11,BillsMafia,WR,Chris Olave,33966,NO,WR
11,BillsMafia,TE,Harold Fannin Jr.,41877,,
11,BillsMafia,W/R,Davante Adams,27581,LAR,WR
11,BillsMafia,BN,Jameson Williams,33967,,
11,BillsMafia,BN,Bo Nix,40875,,
11,BillsMafia,BN,Michael Wilson,40121,,
11,BillsMafia,BN,Dallas Goedert,31019,,
11,BillsMafia,BN,T.J. Hockenson,31840,,
11,BillsMafia,K,Eddy Pineiro,31482,SF,K
11,BillsMafia,BN,Evan McPherson,33537,,
11,BillsMafia,DEF,Packers,,GB,DEF
10,Don R.I.C.O,QB,Jalen Hurts,32723,,
10,Don R.I.C.O,RB,Derrick Henry,29279,,
10,Don R.I.C.O,RB,Chuba Hubbard,33514,,
10,Don R.I.C.O,WR,Jaxon Smith-Njigba,40041,,
10,Don R.I.C.O,WR,Devaughn Vele,41097,NO,WR
10,Don R.I.C.O,TE,Tucker Kraft,40102,GB,TE
10,Don R.I.C.O,W/R,Jeremiyah Love,42625,,
10,Don R.I.C.O,BN,Ladd McConkey,40908,LAC,WR
10,Don R.I.C.O,BN,Isaiah Likely,34095,NYG,TE
10,Don R.I.C.O,BN,Rico Dowdle,33100,,
10,Don R.I.C.O,BN,Deebo Samuel Sr.,31868,SF,WR
10,Don R.I.C.O,BN,Cooper Kupp,30182,,
10,Don R.I.C.O,BN,Tyquan Thornton,34005,KC,WR
10,Don R.I.C.O,K,Ka'imi Fairbairn,29792,,
10,Don R.I.C.O,DEF,49ers,,SF,DEF
4,Heartbreak Drake,QB,Tyler Shough,41825,NO,QB
4,Heartbreak Drake,RB,Jonathan Taylor,32711,,
4,Heartbreak Drake,RB,Ashton Jeanty,41791,LV,RB
4,Heartbreak Drake,WR,Tetairoa McMillan,41793,,
4,Heartbreak Drake,WR,Stefon Diggs,28534,,
4,Heartbreak Drake,TE,Sam LaPorta,40064,,
4,Heartbreak Drake,W/R,Nico Collins,33477,,
4,Heartbreak Drake,BN,Romeo Doubs,34088,NE,WR
4,Heartbreak Drake,BN,Drake Maye,40881,NE,QB
4,Heartbreak Drake,BN,KC Concepcion Jr.,42646,,
4,Heartbreak Drake,BN,Kenny Gainwell,33538,TB,RB
4,Heartbreak Drake,BN,Mike Washington Jr.,42744,LV,RB
4,Heartbreak Drake,BN,Hunter Henry,29269,NE,TE
4,Heartbreak Drake,K,Jason Myers,28378,,
4,Heartbreak Drake,DEF,Seahawks,,,
1,deez nuts,QB,Jared Goff,29235,,
1,deez nuts,RB,Jahmyr Gibbs,40059,,
1,deez nuts,RB,Bhayshul Tuten,41900,,
1,deez nuts,WR,Drake London,33963,,
1,deez nuts,WR,Jalen Coker,41293,,
1,deez nuts,TE,Dalton Kincaid,40048,,
1,deez nuts,W/R,George Pickens,34007,,
1,deez nuts,BN,Luther Burden III,41824,,
1,deez nuts,BN,MarShawn Lloyd,40971,GB,RB
1,deez nuts,BN,Michael Pittman Jr.,32704,,
1,deez nuts,BN,Justice Hill,31945,,
1,deez nuts,BN,Sione Vaki,41006,,
1,deez nuts,BN,Adonai Mitchell,40915,NYJ,WR
1,deez nuts,IR,Jordyn Tyson,42630,NO,WR
1,deez nuts,K,Jake Bates,40835,,
1,deez nuts,DEF,Ravens,,,
6,Barkley’s Balls Deep,QB,Josh Allen,30977,,
6,Barkley’s Balls Deep,RB,Saquon Barkley,30972,,
6,Barkley’s Balls Deep,RB,Cam Skattebo,41922,NYG,RB
6,Barkley’s Balls Deep,WR,DJ Moore,30994,,
6,Barkley’s Balls Deep,WR,(Empty),,,
6,Barkley’s Balls Deep,TE,Jake Ferguson,34085,,
6,Barkley’s Balls Deep,W/R,(Empty),,,
6,Barkley’s Balls Deep,BN,Caleb Douglas,42697,,
6,Barkley’s Balls Deep,BN,Tony Pollard,31960,,
6,Barkley’s Balls Deep,BN,Marvin Harrison Jr.,40893,,
6,Barkley’s Balls Deep,BN,Jordan Mason,34320,,
6,Barkley’s Balls Deep,BN,Tyjae Spears,40119,,
6,Barkley’s Balls Deep,BN,Tank Bigsby,40095,,
6,Barkley’s Balls Deep,BN,Oronde Gadsden,41951,LAC,TE
6,Barkley’s Balls Deep,BN,Rashod Bateman,33415,,
6,Barkley’s Balls Deep,IR,A.J. Brown,31883,NE,WR
6,Barkley’s Balls Deep,K,Harrison Butker,30346,KC,K
6,Barkley’s Balls Deep,DEF,Rams,,LAR,DEF
9,Revenge of the Smith,QB,Dak Prescott,29369,,
9,Revenge of the Smith,RB,James Cook III,34019,,
9,Revenge of the Smith,RB,De'Von Achane,40118,,
9,Revenge of the Smith,WR,DeVonta Smith,33398,,
9,Revenge of the Smith,WR,Jaylen Waddle,33394,,
9,Revenge of the Smith,TE,Mark Andrews,31056,,
9,Revenge of the Smith,W/R,Parker Washington,40234,,
9,Revenge of the Smith,BN,Rome Odunze,40901,,
9,Revenge of the Smith,BN,Josh Jacobs,31856,GB,RB
9,Revenge of the Smith,BN,Matthew Golden,41808,GB,WR
9,Revenge of the Smith,BN,Juwan Johnson,33113,NO,TE
9,Revenge of the Smith,BN,Ray Davis,40980,,
9,Revenge of the Smith,BN,RJ Harvey,41845,,
9,Revenge of the Smith,K,Andy Borregales,41980,NE,K
9,Revenge of the Smith,DEF,Patriots,,NE,DEF
5,L'Omar,QB,Lamar Jackson,31002,,
5,L'Omar,RB,Bucky Irving,40993,TB,RB
5,L'Omar,RB,Quinshon Judkins,41821,,
5,L'Omar,WR,Puka Nacua,40168,LAR,WR
5,L'Omar,WR,Zay Flowers,40039,,
5,L'Omar,TE,Dalton Schultz,31107,,
5,L'Omar,W/R,Jaylen Warren,34447,,
5,L'Omar,BN,Kyle Pitts Sr.,33392,,
5,L'Omar,BN,Carnell Tate,42626,,
5,L'Omar,BN,Brian Thomas Jr.,40883,,
5,L'Omar,BN,Brian Robinson,34054,,
5,L'Omar,BN,Jakobi Meyers,32231,,
5,L'Omar,BN,Makai Lemon,42642,,
5,L'Omar,IR,De'Zhaun Stribling,42655,SF,WR
5,L'Omar,K,Cairo Santos,28227,,
5,L'Omar,DEF,Texans,,,
12,Crabcakes and Football,QB,Patrick Mahomes,30123,KC,QB
12,Crabcakes and Football,RB,Chase Brown,40196,,
12,Crabcakes and Football,RB,Rhamondre Stevenson,33508,NE,RB
12,Crabcakes and Football,WR,CeeDee Lamb,32687,,
12,Crabcakes and Football,WR,Mike Evans,27535,SF,WR
12,Crabcakes and Football,TE,Trey McBride,34010,,
12,Crabcakes and Football,W/R,Tee Higgins,32703,,
12,Crabcakes and Football,BN,Trevor Lawrence,33389,,
12,Crabcakes and Football,BN,Blake Corum,40962,LAR,RB
12,Crabcakes and Football,BN,Jayden Reed,40063,GB,WR
12,Crabcakes and Football,BN,Kyle Monangai,42025,,
12,Crabcakes and Football,BN,Tre Tucker,40114,LV,WR
12,Crabcakes and Football,IR,Zach Charbonnet,40075,,
12,Crabcakes and Football,K,Cam Little,41062,,
12,Crabcakes and Football,DEF,Bengals,,,
12,Crabcakes and Football,BN,Broncos,,,
