team,week,points,opponent,opp_points
A Place in the Hampton,1,83.56,Crabcakes and Football,121.6
Barkley’s Balls Deep,1,96.36,Don R.I.C.O,148.72
BillsMafia,1,161.94,Undisputed,122.86
Burrow-Chase combo,1,75.36,deez nuts,105.14
Crabcakes and Football,1,121.6,A Place in the Hampton,83.56
Don R.I.C.O,1,148.72,Barkley’s Balls Deep,96.36
Heartbreak Drake,1,118.42,TaylorMade,122.66
L'Omar,1,85.96,Revenge of the Smith,74.6
Revenge of the Smith,1,74.6,L'Omar,85.96
TaylorMade,1,122.66,Heartbreak Drake,118.42
Undisputed,1,122.86,BillsMafia,161.94
deez nuts,1,105.14,Burrow-Chase combo,75.36
A Place in the Hampton,2,117.48,Burrow-Chase combo,70.88
Barkley’s Balls Deep,2,75.02,Undisputed,60.12
BillsMafia,2,107.48,Heartbreak Drake,115.62
Burrow-Chase combo,2,70.88,A Place in the Hampton,117.48
Crabcakes and Football,2,101.26,TaylorMade,96.14
Don R.I.C.O,2,118.46,L'Omar,59.0
Heartbreak Drake,2,115.62,BillsMafia,107.48
L'Omar,2,59.0,Don R.I.C.O,118.46
Revenge of the Smith,2,151.66,deez nuts,110.88
TaylorMade,2,96.14,Crabcakes and Football,101.26
Undisputed,2,60.12,Barkley’s Balls Deep,75.02
deez nuts,2,110.88,Revenge of the Smith,151.66
